Cell #,,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
259,,29.268472000000003,6.104570088415224,61.11991956415104,8.588557970087338,4.35485339847413,20.636953231712933,20.636953231712933,20.636953231712933,20.636953231712933
260,,25.146152000000004,5.658363290238725,13.163018366932521,6.4095999893061295,5.136162280847992,18.60063548780862,18.60063548780862,18.60063548780862,18.60063548780862
261,,7.214060000000001,3.030713854868544,17.1033272982081,4.103848234355131,2.3618776883417136,10.052529573173851,10.052529573173851,10.052529573173851,10.052529573173851
262,,41.841548,7.298925504931151,-21.23301507285064,8.57924724429904,6.754387150994379,27.557112103665087,27.557112103665087,27.557112103665087,27.557112103665087
263,,4.328436000000001,2.3475808574051906,-54.14521161297467,3.0055869713175323,1.8466341830256656,6.842264786586926,6.842264786586926,6.842264786586926,6.842264786586926
264,,9.069104000000001,3.398108569206676,-19.9823716014872,5.135584810187354,2.29205198681563,11.492423658539082,11.492423658539082,11.492423658539082,11.492423658539082
265,,66.78158400000001,9.22111455350453,74.51410997392179,14.032303195209867,6.135538324422986,33.991006189030315,33.991006189030315,33.991006189030315,33.991006189030315
266,,28.444008000000004,6.0179760548180425,-51.347164950857206,7.508874721741327,4.90135223995724,19.618794359760777,19.618794359760777,19.618794359760777,19.618794359760777
267,,19.168788000000003,4.940289354505953,34.1103613984304,6.484768454940847,3.9065134414677987,16.51868844512601,16.51868844512601,16.51868844512601,16.51868844512601
268,,32.566328000000006,6.439311813883219,-64.82129880736993,7.044899881934198,5.947692456685017,20.52679435976078,20.52679435976078,20.52679435976078,20.52679435976078
269,,58.330828000000004,8.617953172693912,-8.604944628066232,10.990610126634179,6.840759923098895,29.56116506098247,29.56116506098247,29.56116506098247,29.56116506098247
270,,45.139404000000006,7.581112992072905,87.9695934127086,11.671895935136675,5.110223149056049,29.246820838419474,29.246820838419474,29.246820838419474,29.246820838419474
271,,5.771248000000001,2.7107528799345983,-71.12662273868519,3.1630444232433326,2.4590565838775857,8.564238307928232,8.564238307928232,8.564238307928232,8.564238307928232
272,,40.39873600000001,7.171977986059078,3.7811265718354514,7.656924933169332,6.7768319426107055,23.205165060982473,23.205165060982473,23.205165060982473,23.205165060982473
273,,42.047664000000005,7.316881068360828,86.28094948901247,7.983984079669985,6.740092887130613,23.25079435976078,23.25079435976078,23.25079435976078,23.25079435976078
274,,25.970616000000003,5.750375230568152,-2.609310582878067,7.466224354197378,4.489292941910518,18.866582530491236,18.866582530491236,18.866582530491236,18.866582530491236
275,,2.4733920000000005,1.7746043232314053,-62.529735841828405,2.3081918485586796,1.4622687666098941,5.010132393293463,5.010132393293463,5.010132393293463,5.010132393293463
276,,33.803024,6.560438010409959,37.13158170866327,7.191113056246402,6.118872759058717,21.324635487808624,21.324635487808624,21.324635487808624,21.324635487808624
277,,19.374904,4.966779031550275,-24.03175626953,6.070769207866222,4.1359599737323745,16.298370701221696,16.298370701221696,16.298370701221696,16.298370701221696
